CensusYear,Sex,Single Year of Age,Administrative Counties,VALUE
2022,Male,17,Laois County Council,703
2022,Male,17,Longford County Council,331
2022,Male,17,Louth County Council,1032
2022,Male,17,Meath County Council,1613
2022,Male,17,Offaly County Council,638
2022,Male,17,Westmeath County Council,685
2022,Male,17,Wexford County Council,1204
2022,Male,17,Wicklow County Council,1168
2022,Male,17,Clare County Council,954
2022,Male,17,Cork City Council,1225
2022,Male,17,Cork County Council,2674
2022,Male,17,Kerry County Council,1057
2022,Male,17,Limerick City & County Council,1391
2022,Male,17,Tipperary County Council,1240
2022,Male,17,Waterford City & County Council,863
2022,Male,17,Galway City Council,438
2022,Male,17,Galway County Council,1457
2022,Male,17,Leitrim County Council,270
2022,Male,17,Mayo  County Council,946
2022,Male,17,Roscommon County Council,481
2022,Male,17,Sligo County Council,481
2022,Male,17,Cavan County Council,596
2022,Male,17,Donegal County Council,1236
2022,Male,17,Monaghan County Council,496
2022,Male,18,Carlow County Council,437
2022,Male,18,Dublin City Council,3143
2022,Male,18,Dún Laoghaire Rathdown County Council,1427
2022,Male,18,Fingal County Council,2221
2022,Male,18,South Dublin County Council,2022
2022,Male,18,Kildare County Council,1888
2022,Male,18,Kilkenny County Council,715
2022,Male,18,Laois County Council,665
2022,Male,18,Longford County Council,337
2022,Male,18,Louth County Council,999
2022,Male,18,Meath County Council,1593
2022,Male,18,Offaly County Council,637
2022,Male,18,Westmeath County Council,641
2022,Male,18,Wexford County Council,1142
2022,Male,18,Wicklow County Council,997
2022,Male,18,Clare County Council,860
2022,Male,18,Cork City Council,1360
2022,Male,18,Cork County Council,2443
2022,Male,18,Kerry County Council,985
2022,Male,18,Limerick City & County Council,1396
2022,Male,18,Tipperary County Council,1089
2022,Male,18,Waterford City & County Council,882
2022,Male,18,Galway City Council,512
2022,Male,18,Galway County Council,1332
2022,Male,18,Leitrim County Council,229
2022,Male,18,Mayo  County Council,873
2022,Male,18,Roscommon County Council,487
2022,Male,18,Sligo County Council,435
2022,Male,18,Cavan County Council,574
2022,Male,18,Donegal County Council,1175
2022,Male,18,Monaghan County Council,404
2022,Male,19,Carlow County Council,446
2022,Male,19,Dublin City Council,3669
2022,Male,19,Dún Laoghaire Rathdown County Council,1577
2022,Male,19,Fingal County Council,2167
2022,Male,19,South Dublin County Council,2041
2022,Male,19,Kildare County Council,1744
2022,Male,19,Kilkenny County Council,562
2022,Male,19,Laois County Council,593
2022,Male,19,Longford County Council,287
2022,Male,19,Louth County Council,894
2022,Male,19,Meath County Council,1507
2022,Male,19,Offaly County Council,545
2022,Male,19,Westmeath County Council,585
2022,Male,19,Wexford County Council,941
2022,Male,19,Wicklow County Council,965
2022,Male,19,Clare County Council,829
2022,Male,19,Cork City Council,1674
2022,Male,19,Cork County Council,2259
2022,Male,19,Kerry County Council,880
2022,Male,19,Limerick City & County Council,1467
2022,Male,19,Tipperary County Council,930
2022,Male,19,Waterford City & County Council,826
2022,Male,19,Galway City Council,758
2022,Male,19,Galway County Council,1212
2022,Male,19,Leitrim County Council,162
2022,Male,19,Mayo  County Council,734
2022,Male,19,Roscommon County Council,373
2022,Male,19,Sligo County Council,419
2022,Male,19,Cavan County Council,479
2022,Male,19,Donegal County Council,930
2022,Male,19,Monaghan County Council,412
2022,Male,20,Carlow County Council,444
2022,Male,20,Dublin City Council,3777
2022,Male,20,Dún Laoghaire Rathdown County Council,1535
2022,Male,20,Fingal County Council,2080
2022,Male,20,South Dublin County Council,1904
2022,Male,20,Kildare County Council,1744
2022,Male,20,Kilkenny County Council,560
2022,Male,20,Laois County Council,537
2022,Male,20,Longford County Council,315
2022,Male,20,Louth County Council,1037
2022,Male,20,Meath County Council,1454
2022,Male,20,Offaly County Council,504
2022,Male,20,Westmeath County Council,562
2022,Male,20,Wexford County Council,932
2022,Male,20,Wicklow County Council,908
2022,Male,20,Clare County Council,828
2022,Male,20,Cork City Council,1652
2022,Male,20,Cork County Council,2004
2022,Male,20,Kerry County Council,807
2022,Male,20,Limerick City & County Council,1428
2022,Male,20,Tipperary County Council,970
2022,Male,20,Waterford City & County Council,794
2022,Male,20,Galway City Council,882
2022,Male,20,Galway County Council,1078
2022,Male,20,Leitrim County Council,185
2022,Male,20,Mayo  County Council,652
2022,Male,20,Roscommon County Council,375
2022,Male,20,Sligo County Council,427
2022,Male,20,Cavan County Council,455
2022,Male,20,Donegal County Council,941
2022,Male,20,Monaghan County Council,349
2022,Male,21,Carlow County Council,432
2022,Male,21,Dublin City Council,3903
2022,Male,21,Dún Laoghaire Rathdown County Council,1480
2022,Male,21,Fingal County Council,1959
2022,Male,21,South Dublin County Council,1900
2022,Male,21,Kildare County Council,1587
2022,Male,21,Kilkenny County Council,574
2022,Male,21,Laois County Council,534
2022,Male,21,Longford County Council,274
2022,Male,21,Louth County Council,897
2022,Male,21,Meath County Council,1330
2022,Male,21,Offaly County Council,466
2022,Male,21,Westmeath County Council,572
2022,Male,21,Wexford County Council,801
2022,Male,21,Wicklow County Council,879
2022,Male,21,Clare County Council,655
2022,Male,21,Cork City Council,1667
2022,Male,21,Cork County Council,1871
2022,Male,21,Kerry County Council,756
2022,Male,21,Limerick City & County Council,1343
2022,Male,21,Tipperary County Council,939
2022,Male,21,Waterford City & County Council,772
2022,Male,21,Galway City Council,923
2022,Male,21,Galway County Council,1010
2022,Male,21,Leitrim County Council,146
2022,Male,21,Mayo  County Council,629
2022,Male,21,Roscommon County Council,343
2022,Male,21,Sligo County Council,449
2022,Male,21,Cavan County Council,442
2022,Male,21,Donegal County Council,887
2022,Male,21,Monaghan County Council,351
2022,Male,22,Carlow County Council,408
2022,Male,22,Dublin City Council,4372
2022,Male,22,Dún Laoghaire Rathdown County Council,1607
2022,Male,22,Fingal County Council,1983
2022,Male,22,South Dublin County Council,1873
2022,Male,22,Kildare County Council,1510
2022,Male,22,Kilkenny County Council,555
2022,Male,22,Laois County Council,517
2022,Male,22,Longford County Council,259
2022,Male,22,Louth County Council,852
2022,Male,22,Meath County Council,1314
2022,Male,22,Offaly County Council,502
2022,Male,22,Westmeath County Council,535
2022,Male,22,Wexford County Council,878
2022,Male,22,Wicklow County Council,870
2022,Male,22,Clare County Council,775
2022,Male,22,Cork City Council,1842
2022,Male,22,Cork County Council,1832
2022,Male,22,Kerry County Council,790
2022,Male,22,Limerick City & County Council,1478
2022,Male,22,Tipperary County Council,909
2022,Male,22,Waterford City & County Council,751
2022,Male,22,Galway City Council,895
2022,Male,22,Galway County Council,928
2022,Male,22,Leitrim County Council,170
2022,Male,22,Mayo  County Council,624
2022,Male,22,Roscommon County Council,347
2022,Male,22,Sligo County Council,411
2022,Male,22,Cavan County Council,441
2022,Male,22,Donegal County Council,870
2022,Male,22,Monaghan County Council,352
2022,Male,23,Carlow County Council,376
2022,Male,23,Dublin City Council,4839
2022,Male,23,Dún Laoghaire Rathdown County Council,1566
2022,Male,23,Fingal County Council,1926
2022,Male,23,South Dublin County Council,1899
2022,Male,23,Kildare County Council,1469
2022,Male,23,Kilkenny County Council,523
2022,Male,23,Laois County Council,503
2022,Male,23,Longford County Council,266
